Fitness,Equations
29.9,"[2*b1*(b3 + b4) a2*(-a2 + b2) b2*(-a3 + b3) (a1 - a2)*(a3 - a4 + b3)
 b4*(-a2 + b2) b2*(-a4 - 2*b1 + b3 - 1) 0 b2*(a1 + a2 - b1)
 m3 + m5 + 2*m7 + m8 - 1 -m2 + m5 - m7*(m1 - m2) + m8 m4 m8]"
28.9875,"[2*b1*(b3 + b4) a2*(-a2 + b2) b2*(-a3 + b3) (a1 - a2)*(a3 - a4 + b3)
 b4*(-a2 + b2) b2*(-a4 - 2*b1 + b3 - 1) 0 b2*(a1 + a2 - b1)
 m3 + m5 + 2*m7 + m8 - 1 -m2 + m5 - m7*(m1 - m2) + m8 m8 m8]"
28.9875,"[2*b1*(b3 + b4) a2*(-a2 + b2) b2*(-a3 + b3) a2*(-a3 + a4 - b3)
 b4*(-a2 + b2) b2*(-a4 - 2*b1 + b3 - 1) 0 b2*(a1 + a2 - b1)
 m3 + m5 + 2*m7 + m8 - 1 -m2 + m5 - m7*(m1 - m2) + m8 m8 m8]"
28.2375,"[2*b1*(b3 + b4) a2*(-a2 + b2) b2*(-a3 + b3) b2*(a3 - a4 + b3)
 b4*(-a2 + b2) b2*(-a4 + b1 + b3 - 1) 0 b2*(a1 + a2 - b1)
 m3 + m5 + 2*m7 + m8 - 1 -m2 + m5 - m7*(m1 - m2) + m8 m4 m8]"
27.5375,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a2 + a3 - 1) b4*(a2 + b2 - 1) b2*b4
 0 a3*(a1 + a2 - b1) m5 m1*m7*(m8 + 1) + m5 m4 m8]"
25.925,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a2 + a3 - 1) b4*(a2 + b2 - 1) b2*b4
 0 a3*(a1 + a2 - b1) m5 m1*m7*(m3 + 1) + m5 m4 m4]"
24.9625,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a2 + a3 - 1) b4*(a2 + b2 - 1) b2*b4
 0 a3*(a2 + a3 - b1) m3 + 1 m1*m7*(m3 + 1) + m5 m8 m8]"
24.9625,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a3 + a4 - 1) b4*(a2 + b2 - 1) b2*b4
 0 a3*(a2 + a3 - b1) m3 + 1 m1*m7*(m3 + 1) + m5 m8 m8]"
24.9625,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a3 + a4 - 1) b4*(a2 + b2 - 1) a2*b4
 0 a3*(a2 + a3 - b1) m3 + 1 m1*m7*(m3 + 1) + m5 m8 m8]"
24.9625,"[0 b2*(-a2 + b1 + b3) b1*(a3 + b4) b4*(a3 + a4 - 1) b4*(a2 + b2 - 1) a2*b4
 0 a3*(a2 + a3 - b1) m3 + 1 m1*m7*(m3 + 1) + m5 m8 m8]"
22.8,"[0 b2*(-a2 + b3 + b4) b1*(a3 + b4) b4*(a2 + a3 - 1) a1*(a2 + b2 - 1) a3*b4
 0 a3*(a1 + a2 - b1) m5 m5 + m6*m7 m4 m4]"
22.8,"[0 b2*(a2*b4 + b3 + b4) b1*(a3 + b4) b4*(a2 + a3 - 1) a1*(a2 + b2 - 1)
 a3*b4 0 a3*(a1 + a2 - b1) m5 m5 + m6*m7 m4 m4]"
21.775,"[0 b2*(a2*b4 + b3 + b4) b1*(a3 + b4) a4*b4 a1*(a2 + b2 - 1) b3*b4 0
 a3*(a1 + a2 + a4 - b1) m5 m5 + m6*m7 m4 m4]"
18.85,"[0 b2*(a2*a3 + b3 + b4) b1*(a3 + b4) b4*(a3 + a4 - 1) a1*(a2 + b2 - 1)
 a3*b4 0 a3*(a1 + a2 + b1*b4) m5 m5 + m6*m7 m4 m4]"
18.85,"[0 b2*(a2*a3 + b3 + b4) b1*(a3 + b4) b4*(a3 + a4 - 1) a1*(a2 + b2 - 1)
 a3*b4 0 a3*(2*a1 + b1*b4) m5 m5*(m7 + 1) m4 m4]"
18.85,"[0 b2*(a2*a3 + b3 + b4) b1*(b1 + b4) b4*(a3 + a4 - 1) a1*(a2 + b2 - 1)
 a3*b4 0 a3*(2*a1 + b1*b4) m5 m5*(m7 + 1) m4 m4]"
18.85,"[0 b2*(a2*a3 + 2*b4) b1*(b1 + b4) b4*(a3 + a4 - 1) a1*(a2 + b2 - 1) a3*b4
 0 a3*(2*a1 + b1*b4) m5 m5*(m7 + 1) m4 m4]"
18.85,"[0 b2*(a1*b4 + a2*a3) b1*(b1 + b4) b4*(a3 + a4 - 1) a1*(a2 + b2 - 1) a3*b4
 0 a3*(2*a1 + b1*b4) m5 m5*(m7 + 1) m4 m4]"
18.8375,"[a2*b2 a1*(b3 + b4**2 + b4) b1*(-a3 + 2*b4) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3*(a2 + a4 + b3) m5 m5 + m6 m4 m4]"
18.8375,"[a2*b2 (a2 + a4 + b1)*(b3 + b4**2 + b4) b1*(a2 + b4) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3*(a2 + a4 + b3) m5 m5 + m6 m4 m4]"
18.8375,"[a2*b2 a1*(b3 + b4**2 + b4) b1*b4 b3*(a2 + a3 - 1) a1*(a2 + b2 - 1) -b4 0
 a3*(a2 + a4 + b3) m5 m5 + m6 m4 m4]"
18.8375,"[a2*b2 a3*(b3 + b4**2 + b4) b1*(-a3 + 2*b4) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3**2 m5 m5 + m6 m4 m4]"
18.8375,"[a2*b2 a1*(b3 + b4**2 + b4) -b1*(a3 - b4*(a2 + b2 - 1)) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3*(a2 + a4 + b3) m5 m5 + m6 m4 m4]"
18.8375,"[a2*b2 a3*(b3 + b4**2 + b4) b1*(-a3 + 2*b4) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3*b4 m5 m5 + m6 m4 m4]"
18.15,"[a2*b2 a1*(b3 + b4**2 + b4) b1*(a1 + b2 + 2*b4) b3*(a2 + a3 - 1)
 a1*(a2 + b2 - 1) -b4 0 a3*a4 m5 m5 + m7 m4 m4]"
